PVI;Station;Easting;Northing;elev_exist;elev_des;elev_diff;d_eastAxe
61;25610;178688.72050000000;660471.05230000000;17.47900000000;-13.87100000000;31.35000000000;-13.51430188800
62;25620;178680.40350000000;660465.50070000000;17.65100000000;-14.04100000000;31.69200000000;-13.52674480450
63;25630;178672.24090000000;660459.72430000000;17.83700000000;-14.21100000000;32.04800000000;-13.54480325300
64;25640;178664.23890000000;660453.72760000000;17.99100000000;-14.37800000000;32.36900000000;-13.55381073080
65;25650;178656.40330000000;660447.51490000000;18.14700000000;-14.51100000000;32.65800000000;-13.55372735060
66;25660;178648.74000000000;660441.09100000000;18.32400000000;-14.60400000000;32.92800000000;-13.54464932890
67;25670;178641.25460000000;660434.46040000000;18.60200000000;-14.65700000000;33.25900000000;-13.52643351070
68;25680;178633.95290000000;660427.62830000000;18.70500000000;-14.67100000000;33.37600000000;-13.51473693390
69;25690;178626.84010000000;660420.59970000000;18.75400000000;-14.64400000000;33.39800000000;-13.53721731610
70;25700;178619.92150000000;660413.37970000000;18.73900000000;-14.58800000000;33.32700000000;-13.55060455560
71;25710;178613.20240000000;660405.97380000000;18.52900000000;-14.53100000000;33.06000000000;-13.55487967330
72;25720;178606.68770000000;660398.38750000000;18.83700000000;-14.47500000000;33.31200000000;-13.55010384850
73;25730;178600.38220000000;660390.62640000000;19.15100000000;-14.41800000000;33.56900000000;-13.51794167900
74;25740;178594.27890000000;660382.70520000000;19.47000000000;-14.36100000000;33.83100000000;-13.51081727540
75;25750;178588.33830000000;660374.66120000000;19.83100000000;-14.30400000000;34.13500000000;-13.51075398300
76;25760;178582.51340000000;660366.53290000000;19.96900000000;-14.24700000000;34.21700000000;-13.50128887010
77;25770;178576.75590000000;660358.35660000000;19.46700000000;-14.19000000000;33.65800000000;-13.49997426540
78;25780;178571.01850000000;660350.16630000000;18.96300000000;-14.13300000000;33.09600000000;-13.50001010400
79;25790;178565.28150000000;660341.97560000000;18.47100000000;-14.05600000000;32.52700000000;-13.50000186000
80;25800;178559.54450000000;660333.78490000000;18.22200000000;-13.93800000000;32.16000000000;-13.49999361600
81;25810;178553.80750000000;660325.59430000000;18.06300000000;-13.78000000000;31.84300000000;-13.50004274180
82;25820;178548.07050000000;660317.40360000000;18.04500000000;-13.58300000000;31.62800000000;-13.50003449780
83;25830;178542.33360000000;660309.21290000000;18.04600000000;-13.34500000000;31.39100000000;-13.49994434710
84;25840;178536.59660000000;660301.02230000000;18.10200000000;-13.06700000000;31.16900000000;-13.49999347290
85;25850;178530.85960000000;660292.83160000000;18.27400000000;-12.74900000000;31.02300000000;-13.49998522880
86;25860;178525.12260000000;660284.64090000000;18.52100000000;-12.39100000000;30.91200000000;-13.49997698480
87;25870;178519.38560000000;660276.45030000000;18.67400000000;-11.99700000000;30.67200000000;-13.50002611070
88;25880;178513.64860000000;660268.25960000000;18.68700000000;-11.59700000000;30.28400000000;-13.50001786660
89;25890;178507.91160000000;660260.06890000000;18.80300000000;-11.19700000000;30.00000000000;-13.50000962250
90;25900;178502.17470000000;660251.87830000000;18.85900000000;-10.79700000000;29.65600000000;-13.49997684170
91;25910;178496.43770000000;660243.68760000000;18.89800000000;-10.39700000000;29.29500000000;-13.49996859760
92;25920;178490.70070000000;660235.49690000000;18.96200000000;-9.99700000000;28.95900000000;-13.49996035360
93;25930;178484.96370000000;660227.30630000000;19.02700000000;-9.59700000000;28.62400000000;-13.50000947950
94;25940;178479.22670000000;660219.11560000000;19.09100000000;-9.19700000000;28.28900000000;-13.50000123540
95;25950;178473.48970000000;660210.92490000000;19.10600000000;-8.79700000000;27.90300000000;-13.49999299130
96;25960;178467.75270000000;660202.73430000000;19.12500000000;-8.39700000000;27.52200000000;-13.50004211710
97;25970;178462.01580000000;660194.54360000000;19.16400000000;-7.99700000000;27.16100000000;-13.49995196650
98;25980;178456.27880000000;660186.35300000000;19.40200000000;-7.59700000000;26.99900000000;-13.50000109230
99;25990;178450.54180000000;660178.16230000000;19.65200000000;-7.19700000000;26.84900000000;-13.49999284830
100;26000;178444.80480000000;660169.97160000000;19.90300000000;-6.79700000000;26.70000000000;-13.49998460420
101;26010;178439.06780000000;660161.78100000000;20.03500000000;-6.39700000000;26.43200000000;-13.50003373000
102;26020;178433.33080000000;660153.59030000000;20.01800000000;-5.99700000000;26.01500000000;-13.50002548610
103;26030;178427.59380000000;660145.39960000000;19.94200000000;-5.59800000000;25.54000000000;-13.50001724200
104;26040;178421.85690000000;660137.20900000000;19.81200000000;-5.22600000000;25.03900000000;-13.49998446120
105;26050;178416.11990000000;660129.01830000000;19.67400000000;-4.89500000000;24.56900000000;-13.49997621710
106;26060;178410.38290000000;660120.82760000000;19.57100000000;-4.60400000000;24.17400000000;-13.49996797310
107;26070;178404.64590000000;660112.63700000000;19.61900000000;-4.35200000000;23.97100000000;-13.50001709880
108;26080;178398.90890000000;660104.44630000000;19.68900000000;-4.14100000000;23.83000000000;-13.50000885480
109;26090;178393.17190000000;660096.25560000000;19.76000000000;-3.97000000000;23.73000000000;-13.50000061080
110;26100;178387.43490000000;660088.06500000000;20.90500000000;-3.83900000000;24.74300000000;-13.50004973660
111;26110;178381.69800000000;660079.87430000000;22.97800000000;-3.74700000000;26.72600000000;-13.49995958590
112;26120;178375.96100000000;660071.68360000000;25.19200000000;-3.69600000000;28.88800000000;-13.49995134190
113;26130;178370.22400000000;660063.49300000000;27.40600000000;-3.68400000000;31.09000000000;-13.50000046770
114;26140;178364.48700000000;660055.30230000000;29.62000000000;-3.68400000000;33.30400000000;-13.49999222360
115;26150;178358.75000000000;660047.11160000000;30.35400000000;-3.68400000000;34.03800000000;-13.49998397960
116;26160;178353.01300000000;660038.92100000000;30.16900000000;-3.68400000000;33.85300000000;-13.50003310540
117;26170;178347.27600000000;660030.73030000000;30.33600000000;-3.68400000000;34.02000000000;-13.50002486140
118;26180;178341.53910000000;660022.53960000000;31.84400000000;-3.68400000000;35.52800000000;-13.49993471070
119;26190;178335.80210000000;660014.34900000000;33.16400000000;-3.68400000000;36.84800000000;-13.49998383650
120;26200;178330.06510000000;660006.15830000000;33.69100000000;-3.68400000000;37.37500000000;-13.49997559240
121;26210;178324.32810000000;659997.96770000000;34.21800000000;-3.68400000000;37.90200000000;-13.50002471830
122;26220;178318.59110000000;659989.77700000000;34.25700000000;-3.68400000000;37.94100000000;-13.50001647430
123;26230;178312.85410000000;659981.58630000000;33.25800000000;-3.68400000000;36.94200000000;-13.50000823020
124;26240;178307.11710000000;659973.39570000000;31.92700000000;-3.68400000000;35.61100000000;-13.50005735600
125;26250;178301.38020000000;659965.20500000000;30.55900000000;-3.68400000000;34.24300000000;-13.49996720530
126;26260;178295.64320000000;659957.01430000000;29.19000000000;-3.68400000000;32.87400000000;-13.49995896130
127;26270;178289.90620000000;659948.82370000000;27.96600000000;-3.68400000000;31.65000000000;-13.50000808710
128;26280;178284.16920000000;659940.63300000000;27.30500000000;-3.68400000000;30.98900000000;-13.49999984310
129;26290;178278.43220000000;659932.44230000000;26.45700000000;-3.68400000000;30.14100000000;-13.49999159910
130;26300;178272.69520000000;659924.25170000000;25.57600000000;-3.68400000000;29.26000000000;-13.50004072490
131;26310;178266.95820000000;659916.06100000000;24.69500000000;-3.68400000000;28.37900000000;-13.50003248080
132;26320;178261.22130000000;659907.87030000000;24.43300000000;-3.68400000000;28.11700000000;-13.49994233010
133;26330;178255.48430000000;659899.67970000000;24.66700000000;-3.68400000000;28.35100000000;-13.49999145590
134;26340;178249.74730000000;659891.48900000000;25.03400000000;-3.69200000000;28.72700000000;-13.49998321190
135;26350;178244.01030000000;659883.29830000000;25.67200000000;-3.72100000000;29.39200000000;-13.49997496790
136;26360;178238.27330000000;659875.10770000000;26.13600000000;-3.76900000000;29.90500000000;-13.50002409370
137;26370;178232.53630000000;659866.91700000000;26.50900000000;-3.83300000000;30.34300000000;-13.50001584970
138;26380;178226.79930000000;659858.72630000000;26.81400000000;-3.89900000000;30.71200000000;-13.50000760560
139;26390;178221.06240000000;659850.53570000000;27.07500000000;-3.96400000000;31.03900000000;-13.49997482480
140;26400;178215.32540000000;659842.34500000000;27.33800000000;-4.03000000000;31.36800000000;-13.49996658070
141;26410;178209.58840000000;659834.15430000000;27.64200000000;-4.09600000000;31.73700000000;-13.49995833680
142;26420;178203.85140000000;659825.96370000000;28.13500000000;-4.16100000000;32.29600000000;-13.50000746250
143;26430;178198.11440000000;659817.77300000000;28.63400000000;-4.22700000000;32.86100000000;-13.49999921850
144;26440;178192.37740000000;659809.58240000000;29.13100000000;-4.29200000000;33.42300000000;-13.50004834430
145;26450;178186.64040000000;659801.39170000000;29.41100000000;-4.35800000000;33.76900000000;-13.50004010030
146;26460;178180.90350000000;659793.20100000000;29.70100000000;-4.42300000000;34.12500000000;-13.49994994950
147;26470;178175.16650000000;659785.01040000000;30.16400000000;-4.48900000000;34.65300000000;-13.49999907540
148;26480;178169.43020000000;659776.81920000000;30.92600000000;-4.55400000000;35.48000000000;-13.50303512290
149;26490;178163.72270000000;659768.60800000000;31.38900000000;-4.62000000000;36.00900000000;-13.50548881620
150;26500;178158.10680000000;659760.33400000000;31.12300000000;-4.68500000000;35.80800000000;-13.51185408290
151;26510;178152.64920000000;659751.95480000000;30.96200000000;-4.75100000000;35.71300000000;-13.51048093400
152;26520;178147.41840000000;659743.43240000000;31.20400000000;-4.81700000000;36.02100000000;-13.54342624240
153;26530;178142.45680000000;659734.75060000000;31.14300000000;-4.88200000000;36.02500000000;-13.54156289780
154;26540;178137.77170000000;659725.91650000000;31.46100000000;-4.94800000000;36.40900000000;-13.53943254610
155;26550;178133.36780000000;659716.93880000000;30.80600000000;-5.01300000000;35.81900000000;-13.53696533670
156;26560;178129.24950000000;659707.82670000000;30.56800000000;-5.07900000000;35.64700000000;-13.53425901250
157;26570;178125.42090000000;659698.58910000000;30.58500000000;-5.14400000000;35.72900000000;-13.53123955220
158;26580;178121.88580000000;659689.23520000000;30.47700000000;-5.21000000000;35.68700000000;-13.52792311260
159;26590;178118.64770000000;659679.77450000000;30.31100000000;-5.27500000000;35.58600000000;-13.51594470930
160;26600;178115.69620000000;659670.22030000000;29.81800000000;-5.34100000000;35.15900000000;-13.50984672200
161;26610;178112.96960000000;659660.59930000000;29.52100000000;-5.40600000000;34.92800000000;-13.50952417620
162;26620;178110.39310000000;659650.93700000000;29.28400000000;-5.47200000000;34.75600000000;-13.50217283040
163;26630;178107.89080000000;659641.25510000000;29.08800000000;-5.53800000000;34.62500000000;-13.50003713690
164;26640;178105.40030000000;659631.57020000000;29.05700000000;-5.60300000000;34.66000000000;-13.50002882430
165;26650;178102.90980000000;659621.88530000000;29.02600000000;-5.66200000000;34.68900000000;-13.50002051190
166;26660;178100.41930000000;659612.20040000000;29.01100000000;-5.69000000000;34.70100000000;-13.50001219930
167;26670;178097.92880000000;659602.51550000000;29.00600000000;-5.68500000000;34.69100000000;-13.50000388680
168;26680;178095.43830000000;659592.83060000000;28.93800000000;-5.64700000000;34.58500000000;-13.49999557430
169;26690;178092.94780000000;659583.14570000000;28.84400000000;-5.57500000000;34.41900000000;-13.49998726180
170;26700;178090.45730000000;659573.46080000000;28.74900000000;-5.48500000000;34.23400000000;-13.49997894930
171;26710;178087.96680000000;659563.77590000000;28.76400000000;-5.39500000000;34.15900000000;-13.49997063680
172;26720;178085.47630000000;659554.09100000000;28.87700000000;-5.30500000000;34.18200000000;-13.49996232430
173;26730;178082.98580000000;659544.40610000000;28.94700000000;-5.21500000000;34.16200000000;-13.49995401170
174;26740;178080.49520000000;659534.72120000000;28.91600000000;-5.12500000000;34.04100000000;-13.50004254830
175;26750;178078.00470000000;659525.03630000000;28.88300000000;-5.03500000000;33.91800000000;-13.50003423580
176;26760;178075.51420000000;659515.35140000000;29.28700000000;-4.94500000000;34.23200000000;-13.50002592330
177;26770;178073.02370000000;659505.66650000000;29.38200000000;-4.85500000000;34.23700000000;-13.50001761080
178;26780;178070.53320000000;659495.98160000000;29.52400000000;-4.76500000000;34.28900000000;-13.50000929820
