PVI;Station;Easting;Northing;elev_exist;elev_des;elev_dif;d_northAxe
21;34710;181568.41890000000;654435.64860000000;41.05700000000;9.86500000000;31.19200000000;-13.48458208150
22;34720;181578.14610000000;654433.32920000000;41.32100000000;9.98500000000;31.33700000000;-13.40679676640
23;34730;181587.83610000000;654430.85890000000;41.67000000000;10.10500000000;31.56500000000;-13.48442911290
24;34740;181597.48650000000;654428.23820000000;42.04900000000;10.22500000000;31.82400000000;-13.40951062000
25;34750;181607.09490000000;654425.46790000000;42.34100000000;10.34500000000;31.99600000000;-13.45804184930
26;34760;181616.65920000000;654422.54850000000;42.49400000000;10.46500000000;32.02900000000;-13.41762096980
27;34770;181626.17690000000;654419.48070000000;42.69400000000;10.58500000000;32.10900000000;-13.43717153910
28;34780;181635.64620000000;654416.26670000000;43.07700000000;10.70500000000;32.37300000000;-13.49477812010
29;34790;181645.07310000000;654412.93020000000;43.24000000000;10.82500000000;32.41600000000;-13.49994695670
30;34800;181654.47110000000;654409.51280000000;43.37400000000;10.94500000000;32.42900000000;-13.49933900870
31;34810;181663.85480000000;654406.05660000000;43.52100000000;11.06500000000;32.45600000000;-13.49998080050
32;34820;181673.23650000000;654402.59470000000;43.66700000000;11.18500000000;32.48200000000;-13.49999644360
33;34830;181682.61810000000;654399.13280000000;43.74200000000;11.30500000000;32.43700000000;-13.50004670530
34;34840;181691.99980000000;654395.67100000000;43.77500000000;11.42500000000;32.35100000000;-13.49996853200
35;34850;181701.38150000000;654392.20910000000;43.73300000000;11.54500000000;32.18900000000;-13.49998417510
36;34860;181710.76310000000;654388.74720000000;43.55300000000;11.66500000000;31.88800000000;-13.50003443690
37;34870;181720.14480000000;654385.28540000000;43.63300000000;11.78500000000;31.84900000000;-13.49995626330
38;34880;181729.52640000000;654381.82350000000;43.67600000000;11.90500000000;31.77200000000;-13.50000652510
39;34890;181738.90810000000;654378.36160000000;43.61300000000;12.02500000000;31.58900000000;-13.50002216820
40;34900;181748.28970000000;654374.89980000000;43.41000000000;12.14500000000;31.26500000000;-13.49997861350
41;34910;181757.67140000000;654371.43790000000;43.16000000000;12.26500000000;30.89500000000;-13.49999425650
42;34920;181767.05300000000;654367.97600000000;43.09200000000;12.38500000000;30.70800000000;-13.50004451820
43;34930;181776.43470000000;654364.51420000000;43.05400000000;12.50500000000;30.55000000000;-13.49996634490
44;34940;181785.81640000000;654361.05230000000;43.01700000000;12.62500000000;30.39200000000;-13.49998198790
45;34950;181795.19800000000;654357.59040000000;43.16800000000;12.74500000000;30.42300000000;-13.50003224980
46;34960;181804.57970000000;654354.12860000000;43.01300000000;12.86500000000;30.14900000000;-13.49995407610
47;34970;181813.96130000000;654350.66670000000;42.75700000000;12.98500000000;29.77200000000;-13.50000433810
48;34980;181823.34300000000;654347.20480000000;42.59300000000;13.10500000000;29.48800000000;-13.50001998110
49;34990;181832.72460000000;654343.74300000000;42.46900000000;13.22500000000;29.24500000000;-13.49997642630
50;35000;181842.10630000000;654340.28110000000;42.44100000000;13.34500000000;29.09600000000;-13.49999206940
51;35010;181851.48800000000;654336.81920000000;42.41200000000;13.46200000000;28.95000000000;-13.50000771250
52;35020;181860.86960000000;654333.35740000000;42.30300000000;13.55700000000;28.74700000000;-13.49996415780
53;35030;181870.25130000000;654329.89550000000;42.24800000000;13.62700000000;28.62100000000;-13.49997980090
54;35040;181879.63290000000;654326.43360000000;42.19200000000;13.67200000000;28.52000000000;-13.50003006260
55;35050;181889.01460000000;654322.97180000000;42.45400000000;13.69200000000;28.76200000000;-13.49995188910
56;35060;181898.39620000000;654319.50990000000;42.89800000000;13.69300000000;29.20500000000;-13.50000215100
57;35070;181907.77790000000;654316.04800000000;42.70000000000;13.69300000000;29.00700000000;-13.50001779410
58;35080;181917.15950000000;654312.58620000000;41.94100000000;13.69300000000;28.24800000000;-13.49997423910
59;35090;181926.54120000000;654309.12430000000;41.60700000000;13.69300000000;27.91400000000;-13.49998988220
60;35100;181935.92290000000;654305.66240000000;41.53000000000;13.69300000000;27.83700000000;-13.50000552550
61;35110;181945.30450000000;654302.20060000000;41.42600000000;13.69300000000;27.73300000000;-13.49996197060
62;35120;181954.68620000000;654298.73870000000;41.32000000000;13.69300000000;27.62700000000;-13.49997761370
63;35130;181964.06780000000;654295.27680000000;41.20800000000;13.69300000000;27.51500000000;-13.50002787550
64;35140;181973.44950000000;654291.81500000000;41.09600000000;13.69300000000;27.40300000000;-13.49994970200
65;35150;181982.83110000000;654288.35310000000;40.98200000000;13.69300000000;27.28900000000;-13.49999996380
66;35160;181992.21280000000;654284.89120000000;40.88000000000;13.69300000000;27.18700000000;-13.50001560690
67;35170;182001.59450000000;654281.42940000000;40.78300000000;13.69300000000;27.09000000000;-13.49993743340
68;35180;182010.97610000000;654277.96750000000;40.79000000000;13.69300000000;27.09700000000;-13.49998769520
69;35190;182020.35780000000;654274.50560000000;40.67100000000;13.69300000000;26.97800000000;-13.50000333830
70;35200;182029.73940000000;654271.04370000000;40.47300000000;13.69300000000;26.78000000000;-13.50005360000
71;35210;182039.12110000000;654267.58190000000;40.37500000000;13.69300000000;26.68200000000;-13.49997542660
72;35220;182048.50270000000;654264.12000000000;40.27600000000;13.69300000000;26.58300000000;-13.50002568830
73;35230;182057.88440000000;654260.65810000000;40.22200000000;13.69300000000;26.52900000000;-13.50004133150
74;35240;182067.26600000000;654257.19630000000;40.19100000000;13.69300000000;26.49800000000;-13.49999777680
75;35250;182076.64770000000;654253.73440000000;40.15400000000;13.69300000000;26.46100000000;-13.50001341990
76;35260;182086.02940000000;654250.27250000000;40.11200000000;13.68700000000;26.42500000000;-13.50002906290
77;35270;182095.41100000000;654246.81070000000;40.12200000000;13.67100000000;26.45200000000;-13.49998550810
78;35280;182104.79270000000;654243.34880000000;40.14800000000;13.64400000000;26.50400000000;-13.50000115110
79;35290;182114.17430000000;654239.88690000000;39.97600000000;13.60800000000;26.36800000000;-13.50005141290
80;35300;182123.55600000000;654236.42510000000;39.67200000000;13.56200000000;26.11000000000;-13.49997323960
81;35310;182132.93760000000;654232.96320000000;39.80400000000;13.51200000000;26.29200000000;-13.50002350130
82;35320;182142.31930000000;654229.50130000000;39.94500000000;13.46200000000;26.48300000000;-13.50003914430
83;35330;182151.70280000000;654226.04430000000;40.08700000000;13.41200000000;26.67500000000;-13.50080449880
84;35340;182161.09730000000;654222.61760000000;40.25700000000;13.36200000000;26.89500000000;-13.50134317270
85;35350;182170.51390000000;654219.25200000000;40.44000000000;13.31200000000;27.12800000000;-13.50062527350
86;35360;182179.96120000000;654215.97380000000;40.39800000000;13.26200000000;27.13600000000;-13.63264843260
87;35370;182189.44040000000;654212.78860000000;40.31900000000;13.21200000000;27.10700000000;-13.67587459710
88;35380;182198.95040000000;654209.69680000000;40.24100000000;13.16200000000;27.07900000000;-13.62075350220
89;35390;182208.49030000000;654206.69870000000;40.16300000000;13.11200000000;27.05100000000;-13.50555164390
